Candidate,Party,as %,1st Count,2nd Count,3rd Count,4th Count,5th Count,6th Count,7th Count,8th Count,9th Count
"BACIK, Ivana",LAB,30.20%,8131,8134,8146,8188,8308,8380,8851,9474,13382
"GEOGHEGAN, James",FG,26.20%,7052,7054,7093,7134,7147,7354,7400,8265,9235
"BOYLAN, Lynn",SF,15.80%,4245,4245,4246,4357,4695,4779,4985,5237,0
"BYRNE, Claire",GP,8.00%,2157,2164,2170,2197,2264,2360,2610,2985,0
"CONROY, Deirdre",FF,4.60%,1247,1250,1256,1278,1288,1380,1402,0,0
"FLYNN, Mannix",IND,3.30%,879,882,894,975,1003,1120,1181,0,0
"DURCAN, Sarah",SD,3.20%,849,852,854,886,1077,1111,0,0,0
"PURCELL, Brigid",SPBP,2.80%,759,762,768,818,0,0,0,0,0
"TÓIBÍN, Mairéad",AON,2.80%,740,745,798,940,958,0,0,0,0
"DOOLEY, Peter",IND,1.00%,261,266,271,0,0,0,0,0,0
"BARRETT, Justin",NP,0.70%,183,186,194,0,0,0,0,0,0
"CAHILL, Dolores",IND,0.60%,169,171,179,0,0,0,0,0,0
"GILBOURNE, Jacqui",REN,0.60%,164,166,0,0,0,0,0,0,0
"KEIGHER, John",IND,0.10%,23,0,0,0,0,0,0,0,0
"O’KEEFFE, Colm",IND,0.10%,23,0,0,0,0,0,0,0,0